Отметка времени,"Попробуйте вспомнить и предположить, с какой именно инфекцией чаще всего встречались вы и ваши одногруппники                       Do you remember what sort of URI's you or your group mates usually fall victim to ?","Вы ходите на учебу, когда больны ОРВИ? Do you go to classes although you’re down with the cold ?","Если на предыдущий вопрос вы ответили ""Да"", расскажите, почему? If you answered yes to the previous question please explain why ",Случались ли у вас в группе или на потоке крупные вспышки ОРВИ? Has it happened before that a huge amount of people were infected at the same time ?,"А лично вас когда-нибудь заражали больные одногруппники, посетившие занятия? Have you been directly infected by a group mate who wasn’t present during class ? ","Как думаете, стоит создать облегченный режим отработок для студентов с инфекционными заболеваниями, выбравших остаться дома до выздоровления? What do you think, would it be reasonable to have a better regime of replacement classes for students who have fallen ill and have chosen to stay home till they feel better?","Последний вопрос: чем вы обычно лечитесь, заболев ОРВИ? How do you normally treat yourself when ill with an URI ?"
08.04.2018 12:20:43,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 12:21:58,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:22:39,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 12:22:39,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 12:22:56,,"Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:25:23,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 12:30:20,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:31:22,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 12:35:48,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:36:09,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 12:37:14,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:37:36,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 12:38:33,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски",Тяжело будет отрабатывать,Да,Да,"Нет, это будет просто очередной повод прогулять пары",Осельтамивир/тамифлю
08.04.2018 12:38:59,"Обычное орви, сильная головная боль","Да, в маске","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:40:42,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 12:43:05,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:44:51,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Опасаюсь проблем с зачетом,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 12:49:19,Ангина ,"Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:53:35,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Оциллококцинум и другие гомеопатические средства
08.04.2018 12:57:00,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 12:58:04,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски",Опасаюсь проблем с зачетом,Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Ингавирин/кагоцел/арбидол
08.04.2018 12:58:17,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 12:59:28,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Оциллококцинум и другие гомеопатические средства
08.04.2018 13:00:08,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 13:02:12,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 13:03:17,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 13:04:26,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 13:05:03,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 13:06:39,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:07:43,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:08:37,,"Да, без маски",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:08:43,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Да,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:09:40,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 13:11:04,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:12:11,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:16:16,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Дома скучно, а ещё я люблю экстрим и хожу больным к Странже.",Нет,Да,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 13:17:53,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:18:02,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:18:38,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 13:21:44,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое + антибиотики
08.04.2018 13:27:30,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:28:08,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:31:35,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 13:32:04,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:32:25,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:35:55,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 13:35:58,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:40:48,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 13:45:02,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:48:11,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:50:35,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 13:52:12,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 13:57:24,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Нет, это будет просто очередной повод прогулять пары",Антибиотики
08.04.2018 13:58:07,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 14:02:06,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 14:04:02,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Не хочу упускать ценные знания, Некоторые пары если пропустить, потом отрабатывать сто лет, плюс материал невозможно усвоить самостоятельно",Да,Да,"Да, это обеспечит эпидемическую безопасность","Всегда по-разному, то доходит до антибиотиков, то хватает простого полоскания горла"
08.04.2018 14:05:43,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 14:07:44,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 14:09:08,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 14:13:02,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 14:15:06,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 14:16:07,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 14:26:11,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность","Обычно Ингаверином, но разве Кагоцел не является гомеопатией?)))"
08.04.2018 14:30:56,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски",Опасаюсь проблем с зачетом,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 14:34:51,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 14:36:46,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 14:37:14,,"Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение + трекрезан
08.04.2018 14:38:21,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 14:39:59,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 14:49:23,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Нет,"Нет, это будет просто очередной повод прогулять пары",Ингавирин/кагоцел/арбидол
08.04.2018 14:49:25,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Нет, это будет просто очередной повод прогулять пары",Другое
08.04.2018 14:50:24,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 14:52:56,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Опасаюсь проблем с зачетом,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 14:53:16,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 14:56:34,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания, По профильным предметам, чтобы не упустить материал. По непрофильным ( история, физика, философия), чтобы не отрабатывать ",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 14:59:39,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 15:02:54,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 15:08:05,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 15:08:25,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:08:54,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:09:45,Ангина,"Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:10:13,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 15:10:44,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 15:11:20,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 15:13:58,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:24:32,почти хроническая ангина (тонзиллит),"Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:27:58,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Нет, я беру справку и остаюсь дома",,Да,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность","Спасибо маме за хороший иммунитет, пью чай с клюквой; выздоравливаю не быстро конечно, около недели, но зато не травлю себя таблетками;)"
08.04.2018 15:31:31,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски",Тяжело будет отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Эргоферон
08.04.2018 15:31:45,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:32:41,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:35:07,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 15:38:57,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:43:16,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 15:54:35,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Коллоквиумы пропускать не хочется ",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 15:56:20,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 16:04:12,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Ингавирин/кагоцел/арбидол
08.04.2018 16:17:15,Микст инфекция ,"Да, в маске","Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 16:19:22,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 16:29:23,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 16:37:29,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 16:37:46,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 16:43:44,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 16:43:45,За раз у 1/3 группы могут быть чуть ли не все заболевания из этого списка,"Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
